,Temp,Irradiance,Time,Monat,Wochentag,TagArt,Verbrauch,WW,Heiz
8160,7.93,0.0,0,12,6,2,0.46785812328370974,0.16104294478527606,0.5691048048579792
8161,8.1,0.0,1,12,6,2,0.33899672111838514,0.0920245398773006,0.5798716760236233
8162,8.44,0.0,2,12,6,2,0.252910800779584,0.0460122699386503,0.5870495901340528
8163,8.66,0.0,3,12,6,2,0.2267107370569273,0.0460122699386503,0.5870495901340528
8164,8.94,0.0,4,12,6,2,0.21013518769549716,0.0460122699386503,0.5870495901340528
8165,9.08,0.0,5,12,6,2,0.20478823543075914,0.0460122699386503,0.5870495901340528
8166,9.22,0.0,6,12,6,2,0.21227396647223987,0.0920245398773006,0.5798716760236233
8167,9.41,0.0,7,12,6,2,0.23526585581655787,0.1380368098159509,0.5726937619131939
8168,9.78,98.0,8,12,6,2,0.36680084655354345,0.41411042944785265,0.5296262772506172
8169,10.1,111.0,9,12,6,2,0.6517933483165064,0.6901840490797545,0.4865587925880405
8170,10.34,118.0,10,12,6,2,0.8694142727104102,0.7822085889570551,0.4722029643671816
8171,10.71,147.0,11,12,6,2,1.0335656792671717,0.8282208588957053,0.4650250502567522
8172,10.57,140.0,12,12,6,2,1.1324842875015007,0.7131901840490796,0.4829698355328258
8173,10.19,203.0,13,12,6,2,1.0137819819823874,0.5981595092024539,0.5009146208088995
8174,10.2,76.0,14,12,6,2,0.786001856228332,0.5061349693251533,0.5152704490297583
8175,9.54,0.0,15,12,6,2,0.6523280667619071,0.43711656441717783,0.5260373201954025
8176,8.97,0.0,16,12,6,2,0.579074831730939,0.460122699386503,0.5224483631401877
8177,8.17,0.0,17,12,6,2,0.6036707964194187,0.5061349693251533,0.5152704490297583
8178,6.89,0.0,18,12,6,2,0.7849324427206338,0.5521472392638036,0.5080925349193288
8179,6.59,0.0,19,12,6,2,0.9170021429069756,0.5521472392638036,0.5080925349193288
8180,7.17,0.0,20,12,6,2,0.9244878895817292,0.5061349693251533,0.5152704490297583
8181,8.19,0.0,21,12,6,2,0.7560589240453456,0.41411042944785265,0.5296262772506172
8182,8.5,0.0,22,12,6,2,0.6672995311163694,0.34509202453987725,0.5403931484162614
8183,8.19,0.0,23,12,6,2,0.5143767272682451,0.2300613496932515,0.558337933692335
8184,7.12,0.0,0,12,0,0,0.3625465135486357,0.11503067484662576,0.5762827189684087
8185,6.26,0.0,1,12,0,0,0.24777593858435973,0.05751533742331288,0.5852551116064454
